tipo;prov;mun;clase;refcat;uc;provine;provincia;mundgc;munine;municipio;entidad;codvia;tipovia;nombrevia;ndp;letra;ndp2;letra2;km;direccionne;anyoconstr;exactituda;superficie;longitudfa
13;46;019;RU;46019A00400314;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1975;C;0000009;00000
13;46;019;RU;46019A01600028;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1975;C;0000003;00000
13;46;019;RU;46019A02500133;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1975;C;0000009;00000
13;46;019;RU;46019A00200086;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1987;C;0000026;00000
13;46;019;RU;46019A00200086;0002;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;2004;C;0000829;00000
13;46;019;RU;46019A00200086;0003;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;2008;C;0000006;00000
13;46;019;RU;46019A00200074;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1975;C;0000006;00000
13;46;019;RU;46019A00500168;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;C;0000229;00000
13;46;019;RU;46019A00500168;0002;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1975;C;0000007;00000
13;46;019;RU;46019A02700150;0001;46;VALENCIA;019;019;L'ALCUDIA;;00000;;PROC. SIMPLIFICADO;0000;;0000;;00000;;1970;C;0000010;00000
