tipo;prov;mun;refcat;orden;cargo;uc;bloque;escalera;planta;puerta;destino;tipo_refor;anyo_refor;anyo_ant;local_interior;sup_total;sup_porche_terraza;sup_otras_plantas;tipologia;modo_reparto
14;46;019;46019A00400314;0001;0000;0001;;;00;01;BIG;;0000;1975;N;0000009;0000000;0000000;02138;
14;46;019;46019A01600028;0001;0000;0001;;;00;01;BIG;;0000;1975;N;0000003;0000000;0000000;02138;
14;46;019;46019A02500133;0001;0000;0001;;;00;01;BIG;;0000;1975;N;0000009;0000000;0000000;02138;
14;46;019;46019A00200086;0001;0000;0001;;;00;01;ZBE;;0000;1987;N;0000026;0000000;0000000;10328;
14;46;019;46019A00200086;0002;0000;0002;;;00;01;BIG;;0000;2004;N;0000057;0000000;0000000;02138;
14;46;019;46019A00200086;0003;0000;0002;;;00;01;ZBE;;0000;2004;N;0000772;0000000;0000000;10329;
14;46;019;46019A00200086;0004;0000;0003;;;00;01;BIG;;0000;2008;N;0000006;0000000;0000000;02138;
14;46;019;46019A00200074;0001;0000;0001;;;00;01;BIG;;0000;1975;N;0000006;0000000;0000000;02138;
14;46;019;46019A00500168;0001;0000;0001;;;00;01;BIG;;0000;1970;N;0000192;0000000;0000000;02138;
14;46;019;46019A00500168;0002;0000;0002;;;00;01;BIG;;0000;1975;N;0000007;0000000;0000000;02138;
14;46;019;46019A02700150;0001;0000;0001;;1;00;02;BIG;;0000;1970;N;0000010;0000000;0000000;02138;
14;46;019;46019A02700122;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000080;0000000;0000000;02138;
14;46;019;46019A02700122;0002;0000;0001;;1;00;02;BIG;;0000;1970;N;0000031;0000000;0000000;02138;
14;46;019;46019A02400051;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000099;0000000;0000000;02138;
14;46;019;46019A01300153;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000009;0000000;0000000;02138;
14;46;019;46019A01200026;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000136;0000000;0000000;02138;
14;46;019;46019A01200026;0002;0000;0001;;1;00;02;BIG;;0000;1970;N;0000008;0000000;0000000;02138;
14;46;019;46019A02600158;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000073;0000000;0000000;02138;
14;46;019;46019A02600155;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000036;0000000;0000000;02138;
14;46;019;46019A02600119;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000032;0000000;0000000;02138;
14;46;019;46019A01000007;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000115;0000000;0000000;02138;
14;46;019;46019A01000007;0002;0000;0001;;1;00;02;BIG;;0000;1970;N;0000024;0000000;0000000;02138;
14;46;019;46019A01000007;0003;0000;0001;;1;00;03;BIG;;0000;1970;N;0000009;0000000;0000000;02138;
14;46;019;46019A00900119;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000404;0000000;0000000;02138;
14;46;019;46019A00900119;0002;0000;0001;;1;00;02;BIG;;0000;1970;N;0000339;0000000;0000000;02138;
14;46;019;46019A00900119;0003;0000;0001;;1;00;03;BIG;;0000;1970;N;0000323;0000000;0000000;02138;
14;46;019;46019A00900119;0004;0000;0001;;1;00;04;BIG;;0000;1970;N;0000229;0000000;0000000;02138;
14;46;019;46019A00900119;0005;0000;0001;;1;00;05;BIG;;0000;1970;N;0000120;0000000;0000000;02138;
14;46;019;46019A02900091;0001;0000;0001;;1;00;02;BIG;;0000;1970;N;0000088;0000000;0000000;02138;
14;46;019;46019A02600114;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000009;0000000;0000000;02138;
14;46;019;46019A02600074;0001;0000;0001;;1;00;01;ZBE;;0000;1970;N;0000462;0000000;0000000;10328;
14;46;019;46019A02600050;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000010;0000000;0000000;02138;
14;46;019;46019A02100090;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000135;0000000;0000000;02138;
14;46;019;46019A02100085;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000060;0000000;0000000;02138;
14;46;019;46019A02100085;0002;0000;0001;;1;00;02;BIG;;0000;1970;N;0000070;0000000;0000000;02138;
14;46;019;46019A01600035;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000012;0000000;0000000;02138;
14;46;019;46019A00400285;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000002;0000000;0000000;02138;
14;46;019;46019A00400255;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000020;0000000;0000000;02138;
14;46;019;46019A02900068;0001;0000;0001;;1;00;02;BIG;;0000;1970;N;0000024;0000000;0000000;02138;
14;46;019;46019A02600027;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000002;0000000;0000000;02138;
14;46;019;46019A02600027;0002;0000;0001;;1;00;02;ZBE;;0000;1970;N;0000014;0000000;0000000;10328;
14;46;019;46019A02600013;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000030;0000000;0000000;02138;
14;46;019;46019A02600010;0001;0000;0001;;1;00;01;YDL;;0000;1970;N;0000273;0000000;0000000;10378;
14;46;019;46019A01500100;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000068;0000000;0000000;02138;
14;46;019;46019A00400188;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000025;0000000;0000000;02138;
14;46;019;46019A00400188;0002;0000;0001;;1;00;02;BIG;;0000;1970;N;0000006;0000000;0000000;02138;
14;46;019;46019A00400188;0003;0000;0001;;1;00;03;YPO;;0000;1970;N;0000028;0000000;0000000;01238;
14;46;019;46019A00400188;0004;0000;0001;;1;00;04;YPO;;0000;1970;N;0000010;0000000;0000000;01238;
14;46;019;46019A00400188;0005;0000;0001;;1;00;05;ZBE;;0000;1970;N;0000011;0000000;0000000;10328;
14;46;019;46019A02000088;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000006;0000000;0000000;02138;
14;46;019;46019A02000053;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000026;0000000;0000000;02138;
14;46;019;46019A02000034;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0002055;0000000;0000000;02138;
14;46;019;46019A00400063;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000062;0000000;0000000;02138;
14;46;019;46019A00400063;0002;0000;0001;;1;00;02;ZBE;;0000;1970;N;0000016;0000000;0000000;10328;
14;46;019;46019A02800093;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000451;0000000;0000000;02138;
14;46;019;46019A02800093;0002;0000;0001;;1;01;01;BIG;;0000;1970;N;0000451;0000000;0000000;02138;
14;46;019;46019A02800093;0003;0000;0001;;1;02;01;BIG;;0000;1970;N;0000451;0000000;0000000;02138;
14;46;019;46019A02800093;0004;0000;0001;;1;00;02;BIG;;0000;1970;N;0000024;0000000;0000000;02138;
14;46;019;46019A02800093;0005;0000;0001;;1;00;03;BIG;;0000;1970;N;0000050;0000000;0000000;02138;
14;46;019;46019A00400018;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000048;0000000;0000000;02138;
14;46;019;46019A02800015;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000035;0000000;0000000;02138;
14;46;019;46019A02800009;0001;0000;0001;;1;00;02;BIG;;0000;1970;N;0000016;0000000;0000000;02138;
14;46;019;46019A02500130;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000163;0000000;0000000;02138;
14;46;019;46019A02500130;0002;0000;0001;;1;00;02;ZBE;;0000;1970;N;0000009;0000000;0000000;10328;
14;46;019;46019A02500118;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000027;0000000;0000000;02138;
14;46;019;46019A02500115;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000013;0000000;0000000;02138;
14;46;019;46019A02500106;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000015;0000000;0000000;02138;
14;46;019;46019A01900234;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000139;0000000;0000000;02138;
14;46;019;46019A01900234;0002;0000;0001;;1;00;01;ZBE;;0000;1970;N;0000020;0000000;0000000;10328;
14;46;019;46019A01900218;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000150;0000000;0000000;02138;
14;46;019;46019A01400094;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000015;0000000;0000000;02138;
14;46;019;46019A01400050;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000020;0000000;0000000;02138;
14;46;019;46019A00300216;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000015;0000000;0000000;02138;
14;46;019;46019A00300215;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000006;0000000;0000000;02138;
14;46;019;46019A02500087;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000028;0000000;0000000;02138;
14;46;019;46019A02500029;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000013;0000000;0000000;02138;
14;46;019;46019A01900124;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000023;0000000;0000000;02138;
14;46;019;46019A00300177;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000009;0000000;0000000;02138;
14;46;019;46019A02700092;0001;0000;0001;;1;00;02;BIG;;0000;1970;N;0000050;0000000;0000000;02138;
14;46;019;46019A02700071;0001;0000;0001;;1;00;02;ZBE;;0000;1970;N;0000032;0000000;0000000;10328;
14;46;019;46019A02500009;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000032;0000000;0000000;02138;
14;46;019;46019A02400127;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000224;0000000;0000000;02138;
14;46;019;46019A01300218;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000038;0000000;0000000;02138;
14;46;019;46019A02700038;0001;0000;0001;;1;00;02;BIG;;0000;1970;N;0000027;0000000;0000000;02138;
14;46;019;46019A01900017;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000032;0000000;0000000;02138;
14;46;019;46019A01900004;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000208;0000000;0000000;02138;
14;46;019;46019A01300165;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000074;0000000;0000000;02138;
14;46;019;46019A01300141;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000164;0000000;0000000;02138;
14;46;019;46019A02400001;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000232;0000000;0000000;02138;
14;46;019;46019A01800339;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000012;0000000;0000000;02138;
14;46;019;46019A01300060;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000014;0000000;0000000;02138;
14;46;019;46019A01800285;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000414;0000000;0000000;02138;
14;46;019;46019A01800281;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000055;0000000;0000000;02138;
14;46;019;46019A00200147;0001;0000;0001;;1;00;01;ZBE;;0000;1970;N;0000045;0000000;0000000;10328;
14;46;019;46019A00200135;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000016;0000000;0000000;02138;
14;46;019;46019A00200083;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000030;0000000;0000000;02138;
14;46;019;46019A00200083;0002;0000;0001;;1;00;02;ZBE;;0000;1970;N;0000201;0000000;0000000;10328;
14;46;019;46019A00600104;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000009;0000000;0000000;02138;
